Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,28.03.2025
KZ TR 5 106 00619,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000493,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,23.03.2025,
KZ TR 5 106 00620,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000494,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,23.03.2025,
KZ HU 5 106 00621,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000495,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00624,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000498,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00627,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000500,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00628,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000501,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00629,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000502,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00630,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000503,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00616,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000490,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00631,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000504,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00632,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000505,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00633,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000506,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00634,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000507,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00623,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000497,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00626,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000499,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00635,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000508,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00636,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000509,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00637,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000510,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00638,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000511,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00639,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000512,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00611,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000487,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,21.03.2025,
KZ HU 5 106 00612,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000475,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,21.03.2025,
KZ HU 5 106 00613,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000476,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,21.03.2025,
KZ HU 5 106 00614,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000488,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,21.03.2025,
KZ HU 5 106 00615,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000489,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,21.03.2025,
KZ HU 5 106 00583,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000478,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00588,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000464,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00591,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000466,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00594,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000467,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00595,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000468,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ TR 5 106 00606,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000473,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,20.03.2025,
KZ HU 5 106 00584,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000462,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00586,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000463,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00590,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000465,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00598,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000469,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00582,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000477,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00602,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000470,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00603,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000471,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00604,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000472,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00587,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000479,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ TR 5 106 00608,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000474,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,20.03.2025,
KZ HU 5 106 00589,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000480,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00593,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000481,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00597,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000482,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00596,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000483,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00601,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000484,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00605,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000485,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00607,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000486,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,20.03.2025,
KZ HU 5 106 00577,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000461,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,19.03.2025,
KZ HU 5 106 00576,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000460,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000",Polypropylene PP H031BF/7 Code as per 3902100000,3902100000,W3902,Республика Казахстан,Hungary,Действующий,19.03.2025,
KZ TR 5 108 01247,"РПП ""Региональная палата предпринимателей Жамбылской области""",«А»,3003770,930518302591.0,"IE ""Uaikhanov""","Turkestan region, Saryagash district, Saryagash, Botkin str., 21, Republic of Kazakhstan",Sunfiower,1206001000,P,Республика Казахстан,Turkey,Действующий,19.03.2025,
